maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,url
銘匠光学,TTArtisan 11mm f/2.8 Fisheye,,11,11,2.8,2.8,170,170,0,-1,0,0,1,67,89,510,29700,http://www.stkb.jp/shop/shopdetail.html?brandcode=000000001355&search=%A5%E9%A5%A4%A5%ABL&sort=
七工匠,7Artisans 55mm F1.4,,55,55,1.4,1.4,350,350,0,49,0,0,1,57,60,280,14580,https://www.7artisans.com/en/h-pd-25.html#_pp=105_3765
