maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,mount,url
LEICA,APO-SUMMICRON-SL75 f/2 ASPH.,11178,75,75,2,2,500,500,0.2,67.0,False,False,True,73.0,102.0,720,0,ライカLマウント,https://us.leica-camera.com/Photography/Leica-SL/SL-Lenses/Prime-Lenses/APO-Summicron-SL-75
LEICA,APO-SUMMICRON-SL90 f/2 ASPH.,11179,90,90,2,2,600,600,0.2,67.0,False,False,True,73.0,102.0,700,0,ライカLマウント,https://us.leica-camera.com/Photography/Leica-SL/SL-Lenses/Prime-Lenses/APO-Summicron-SL-90
LEICA,SUPER-VARIO-ELMAR-SL16-35 f/3.5-4.5 ASPH.,11177,16,35,3.5,4.5,250,250,0.13,82.0,False,False,False,88.0,123.0,990,0,ライカLマウント,https://us.leica-camera.com/Photography/Leica-SL/SL-Lenses/Vario-Lenses/Super-Vario-Elmar-SL-16-35
LEICA,VARIO-ELMARIT-SL24-90 f/2.8-4 ASPH.,11176,24,90,2.8,4,300,300,0.14,82.0,False,True,False,88.0,138.0,1140,0,ライカLマウント,https://us.leica-camera.com/Photography/Leica-SL/SL-Lenses/Vario-Lenses/VARIO-ELMARIT-SL-24-90
LEICA,APO VARIO-ELMARIT-SL90-280 f/2.8-4,11175,90,280,2.8,4,600,600,0.21,82.0,False,True,True,88.0,238.0,1710,0,ライカLマウント,https://us.leica-camera.com/Photography/Leica-SL/SL-Lenses/Vario-Lenses/APO-VARIO-ELMARIT-SL-90-280
COSINA,Voigtlander NOKTON 10.5mm F0.95 Aspherical,,21,21,0.95,0.95,170,170,0.12,72.0,False,False,True,77.0,82.4,585,148000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-10_5mm/index.html
COSINA,Voigtlander NOKTON 17.5mm F0.95 Aspherical,,35,35,0.95,0.95,150,150,0.25,58.0,False,False,True,63.4,80.0,540,118000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-17_5mm/index.html
COSINA,Voigtlander NOKTON 25mm F0.95 TypeII,,50,50,0.95,0.95,170,170,0.26,52.0,False,False,True,60.6,70.0,435,105000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-25mm-2/index.html
COSINA,Voigtlander SUPER NOKTON 29mm F0.8 Aspherical,,58,58,0.8,0.8,370,370,0.1,62.0,False,False,True,72.3,88.9,703,225000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-29mm/index.html
COSINA,Voigtlander NOKTON 42.5mm F0.95,,85,85,0.95,0.95,230,230,0.25,58.0,False,False,True,64.3,74.6,571,118000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-42_5mm/index.html
COSINA,Voigtlander NOKTON 60mm F0.95,,120,120,0.95,0.95,340,340,0.25,77.0,False,False,True,82.5,87.7,860,145000,マイクロフォーサーズ,http://www.cosina.co.jp/seihin/voigtlander/mft-mount/mft-60mm/index.html
LAOWA,LAOWA 14mm F4.0 FF RL Zero-D,,14,14,4.0,4.0,270,270,0.07,52.0,False,False,True,58.0,59.0,228,0,ライカLマウント,https://www.laowa.jp/cat1/c694dd16db6e0699aa3fe7265aab1946dbf70dec.html
LAOWA,LAOWA 10mm F2.0 Zero-D MFT,,20,20,2.0,2.0,120,120,0.3,46.0,False,False,True,53.0,41.0,125,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/2ca7c96b87b4d4841747d7ac8653950a3d50bdd8.html
LAOWA,LAOWA 11mm F4.5 FF RL,,11,11,4.5,4.5,190,190,0.1,62.0,False,False,True,63.5,58.0,254,0,ライカLマウント,https://www.laowa.jp/cat1/1977964e78305cf608bae66d0d541eca01664539.html
LAOWA,LAOWA 50mm F2.8 2X ULTRAMACRO APO,,100,100,2.8,2.8,135,135,4.0,49.0,False,False,True,53.5,79.0,240,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/02dfd867e07251b3844a1a8ddf4d49b265f2fdae.html
LAOWA,LAOWA 9mm F5.6 W-Dreamer,,9,9,5.6,5.6,120,120,0.21,-1.0,False,False,True,62.4,66.0,350,0,ライカLマウント,https://www.laowa.jp/cat1/57d28803af8959a4b7a3c8437c0d855837cca00e.html
LAOWA,LAOWA 17mm F1.8 MFT,,34,34,1.8,1.8,150,150,0.4,46.0,False,False,True,55.0,51.0,172,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/05e5b5fe511b3a39e131d45e884c044762578645.html
LAOWA,LAOWA 4mm F2.8 Fisheye MFT,,8,8,2.8,2.8,80,80,0.22,-1.0,False,False,True,45.2,25.5,135,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/05a17726451511950b0e847d846af510e8153f47.html
LAOWA,LAOWA 9mm F2.8 ZERO-D MFT,,18,18,2.8,2.8,120,120,0.26,49.0,False,False,True,60.0,53.0,215,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/3c472b96527fd176e6b403e6eaa21d225c85efc6.html
LAOWA,LAOWA 24mm F14 2X MACRO PROBE,,24,24,14.0,14.0,470,470,2.0,-1.0,False,False,True,38.0,408.0,474,0,ライカLマウント,https://www.laowa.jp/cat1/dcbd9acd85461a67491a1e3627e42c7e405bd7ca.html
LAOWA,LAOWA 10-18mm F4.5-5.6 FE ZOOM,,10,18,4.5,5.6,150,150,0.25,-1.0,False,False,False,68.0,82.0,492,0,ライカLマウント,https://www.laowa.jp/cat1/69d5c3d18c4a44eca1fa4c5e25b5a26c73aab37e.html
LAOWA,LAOWA 9mm F2.8 ZERO-D,,9,9,2.8,2.8,120,120,0.13,49.0,False,False,True,60.0,53.0,215,0,ライカLマウント,https://www.laowa.jp/cat1/5c8be9378b2ff66d8875fdc9f402ab91489cb7ee.html
LAOWA,LAOWA 25mm F2.8 2.5-5X ULTRA MACRO,,25,25,2.8,2.8,173,234,5.0,-1.0,False,False,True,82.0,65.0,400,0,ライカLマウント,https://www.laowa.jp/cat1/bf5601f9105b21ad11d6fefaabb72c917e204fc8.html
LAOWA,LAOWA 15mm F2 Zero-D,,15,15,2.0,2.0,150,150,0.25,72.0,False,False,True,66.0,82.0,500,0,ライカLマウント,https://www.laowa.jp/cat1/db7c2e45d8a2326ffa599d44976a97c53ae079dc.html
LAOWA,LAOWA 7.5mm F2 MFT,,15,15,2.0,2.0,120,120,0.22,46.0,False,False,True,50.0,55.0,170,0,マイクロフォーサーズ,https://www.laowa.jp/cat1/03f1738be5312d3af4cdb384717280520b0a1543.html
LAOWA,LAOWA 12mm F2.8 Zero-D,,12,12,2.8,2.8,180,180,0.2,-1.0,False,False,True,74.8,82.2,610,0,ライカLマウント,https://www.laowa.jp/cat1/16eb1d1a077916619b6aa5ed90d187b998233313.html
LAOWA,LAOWA 15mm F4 WIDE ANGLE MACRO,,15,15,4.0,4.0,120,120,1.0,77.0,False,False,True,83.8,64.7,410,0,ライカLマウント,https://www.laowa.jp/cat1/a93af3d94afb864a2af99aae5444dcdb16d9eb6c.html
SAMYANG,7.5mm F3.5 FISH-EYE,,15,15,3.5,3.5,90,90,0.0,-1.0,False,False,True,60.0,48.3,190,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/75mm_f35_fish-eye.html
SAMYANG,10mm F2.8 ED AS NCS CS,,20,20,2.8,2.8,240,240,0.0,-1.0,False,False,True,87.0,130.9,620,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/10mm_f28_ed_as_ncs_cs.html
SAMYANG,12mm F2.0 NCS CS,,24,24,2.0,2.0,200,200,0.0,67.0,False,False,True,72.5,57.9,255,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/12mm_f20_ncs_cs.html
SAMYANG,12mm F2.8 ED AS NCS FISH-EYE,,24,24,2.8,2.8,200,200,0.0,-1.0,False,False,True,77.3,97.5,520,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/12mm_f28_ed_as_ncs_fish-eye.html
SAMYANG,MF 14mm F2.8 MK2,,28,28,2.8,2.8,280,280,0.16,-1.0,False,False,True,87.0,93.6,641,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/14mm_f28_mk2.html
SAMYANG,16mm F2.0 ED AS UMC CS,,32,32,2.0,2.0,200,200,0.0,77.0,False,False,True,83.0,114.2,610,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/16mm_f20_ed_as_umc_cs.html
SAMYANG,20mm F1.8 ED AS UMC,,40,40,1.8,1.8,200,200,0.0,77.0,False,False,True,83.0,113.2,520,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/20mm_f18_ed_as_umc.html
SAMYANG, TILT/SHIFT LENS 24mm F3.5 ED AS,,48,48,3.5,3.5,200,200,0.0,82.0,False,False,True,86.0,115.0,720,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/tiltshift_lens_24mm_f35_ed_as.html
SAMYANG,35mm F1.4 AS UMC,,70,70,1.4,1.4,300,300,0.0,77.0,False,False,True,83.0,137.5,735,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/35mm_f14_as_umc.html
SAMYANG,50mm F1.2 AS UMC CS,,100,100,1.2,1.2,500,500,0.0,62.0,False,False,True,67.5,73.0,385,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/50mm_f12_as_umc_cs.html
SAMYANG,50mm F1.4 AS UMC,,100,100,1.4,1.4,450,450,0.0,77.0,False,False,True,81.6,99.5,555,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/50mm_f14_as_umc.html
SAMYANG,85mm F1.8 ED UMC CS,,170,170,1.8,1.8,650,650,0.34,62.0,False,False,True,67.5,79.5,356,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/85mm_f18_ed_umc_cs.html
SAMYANG,MF 85mm F1.4 MK2,,170,170,1.4,1.4,1100,1100,0.18,72.0,False,False,True,78.0,74.7,548,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/85mm_f14_mk2.html
SAMYANG,100mm F2.8 ED UMC MACRO,,200,200,2.8,2.8,307,307,0.0,67.0,False,False,True,72.5,147.9,725,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/100mm_f28_ed_umc_macro.html
SAMYANG,135mm F2.0 ED UMC,,270,270,2.0,2.0,800,800,0.0,77.0,False,False,True,82.0,146.9,835,0,マイクロフォーサーズ,https://www.kenko-tokina.co.jp/camera-lens/samyang/17135mm_f20_ed_umc.html
