maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,mount,url
Panasonic,LUMIX S PRO 24-70mm F2.8,S-E2470,24,70,2.8,2.8,370,370,0.25,82.0,True,False,False,90.9,140.0,940,302500,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_pro_24-70.html
Panasonic,LUMIX S 24-105mm F4 MACRO O.I.S.,S-R24105,24,105,4.0,4.0,300,300,0.5,77.0,True,True,False,84.0,118.0,680,176000,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_24-105.html
Panasonic,LUMIX S PRO 70-200mm F2.8,S-E70200,70,200,2.8,2.8,950,950,0.21,82.0,True,True,True,94.4,208.6,1570,349800,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_pro_70-200_2.8.html
Panasonic,LUMIX S PRO 70-200mm F4 O.I.S.,S-R70200,70,200,4.0,4.0,920,920,0.25,77.0,True,True,True,84.4,179.0,985,231000,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_pro_70-200.html
Panasonic,LUMIX S 70-300mm F4.5-5.6 MACRO O.I.S.,S-R70300,70,300,4.5,5.6,540,74000,0.5,77.0,True,True,False,84.0,148.0,790,160600,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_70-300.html
Panasonic,LUMIX S PRO 50mm F1.4,S-X50,50,50,1.4,1.4,440,440,0.15,77.0,True,False,True,90.0,130.0,955,313500,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_pro_50.html
Panasonic,LUMIX S 85mm F1.8,S-S85,85,85,1.8,1.8,800,800,0.13,67.0,True,False,True,73.6,82.0,355,81400,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_85.html
Panasonic,LUMIX G VARIO 45-200mm/F4.0-5.6/MEGA O.I.S.,H-FS045200,90,400,4.0,5.6,1000,1000,0.0,52.0,False,True,False,70.0,100.0,380,0,マイクロフォーサーズ,http://panasonic.jp/dc/p-db/H-FS045200.html
Panasonic,LUMIX G VARIO 100-300mm/F4.0-5.6 /MEGA O.I.S.,H-FS100300,200,600,4.0,5.6,1500,1500,0.0,67.0,False,True,False,73.6,126.0,520,0,マイクロフォーサーズ,http://panasonic.jp/dc/p-db/H-FS100300.html
OLYMPUS,M.ZUIKO DIGITAL ED 7-14mm F2.8 PRO,7-14_28pro,14,28,2.8,2.8,200,200,0.24,-1.0,True,False,True,78.9,105.8,534,185000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/7-14_28pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12-40mm F2.8 PRO,12-40_28pro,24,80,2.8,2.8,200,200,0.6,62.0,True,False,False,69.9,84.0,382,118750,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12-40_28pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12-45mm F4.0 PRO,12-45_4pro,24,90,4.0,4.0,120,230,0.5,58.0,True,False,False,63.4,70.0,254,85000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12-45_4pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12-100mm F4.0 IS PRO,12-100_4ispro,24,200,4.0,4.0,150,450,0.6,72.0,True,True,False,77.5,116.5,561,195000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12-100_4ispro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 40-150mm F2.8 PRO,40-150_28pro,80,300,2.8,2.8,700,700,0.42,72.0,True,False,True,79.4,160.0,760,205000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/40-150_28pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 150-400mm F4.5 TC1.25x IS PRO ,150-400_45ispro,300,1000,4.5,4.5,1300,1300,0.58,95.0,True,True,True,115.8,314.3,1875,1000000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/150-400_45ispro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 17mm F1.2 PRO,17_12pro,34,34,1.2,1.2,200,200,0.3,62.0,True,False,True,68.2,87.0,390,180000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/17_12pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 25mm F1.2 PRO,25_12pro,50,50,1.2,1.2,300,300,0.22,62.0,True,False,True,70.0,87.0,410,180000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/25_12pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 45mm F1.2 PRO,45_12pro,90,90,1.2,1.2,500,500,0.2,62.0,True,False,True,70.0,84.9,410,180000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/45_12pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 300mm F4.0 IS PRO,300_4ispro,600,600,4.0,4.0,1400,1400,0.48,77.0,True,True,True,92.5,280.0,1270,420000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/300_4ispro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 8mm F1.8 Fisheye PRO,8_18pro,16,16,1.8,1.8,120,120,0.4,-1.0,True,False,True,62.0,80.0,315,147500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/8_18pro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12mm F2.0,12_20,24,24,2.0,2.0,200,200,0.16,46.0,False,False,True,56.0,43.0,130,95000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12_20/index.html
OLYMPUS,M.ZUIKO DIGITAL 17mm F1.8,17_18,34,34,1.8,1.8,250,250,0.16,46.0,False,False,True,57.5,35.5,120,59500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/17_18/index.html
OLYMPUS,M.ZUIKO DIGITAL 25mm F1.8,25_18,50,50,1.8,1.8,250,250,0.24,46.0,False,False,True,57.8,42.0,137,42000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/25_18/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 30mm F3.5 Macro,30_35macro,60,60,3.5,3.5,95,95,2.5,46.0,False,False,True,57.0,60.0,128,37500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/30_35macro/index.html
OLYMPUS,M.ZUIKO DIGITAL 45mm F1.8,45_18,90,90,1.8,1.8,500,500,0.22,37.0,False,False,True,56.0,46.0,116,35000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/45_18/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 60mm F2.8 Macro,60_28macro,120,120,2.8,2.8,190,190,2.0,46.0,True,False,True,56.0,82.0,185,59500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/60_28macro/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 75mm F1.8,75_18,150,150,1.8,1.8,840,840,0.2,58.0,False,False,True,64.0,69.0,305,119000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/75_18/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 9-18mm F4.0-5.6,9-18_40-56,18,36,4.0,5.6,250,250,0.2,52.0,False,False,False,56.5,49.5,155,71000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/9-18_40-56/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12-200mm F3.5-6.3,12-200_35-63,24,400,3.5,6.3,220,700,0.46,72.0,True,False,False,77.5,99.7,455,115000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12-200_35-63/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 14-42mm F3.5-5.6 EZ,14-42_35-56_ez,28,84,3.5,5.6,200,250,0.46,37.0,False,False,False,60.6,22.5,93,42000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-42_35-56_ez/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 14-150mm F4.0-5.6 II,14-150_40-56_2,28,300,4.0,5.6,500,500,0.44,58.0,True,False,False,63.5,83.0,285,81000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-150_40-56_2/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6 R,40-150_40-56_r,80,300,4.0,5.6,900,900,0.32,58.0,False,False,False,63.5,83.0,190,47500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/40-150_40-56_r/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 75-300mm F4.8-6.7 II,75-300_48-67_2,150,600,4.8,6.7,900,1500,0.36,58.0,False,False,False,69.0,116.5,423,63000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/75-300_48-67_2/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 100-400mm F5.0-6.3 IS,100-400_50-63is,200,800,5.0,6.3,1300,1300,0.58,72.0,True,True,False,86.4,205.7,1120,180000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/100-400_50-63is/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 12-50mm F3.5-6.3 EZ,12-50_35-63_ez,24,100,3.5,6.3,350,200,0.72,52.0,True,False,False,57.0,83.0,212,47500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/12-50_35-63_ez/index.html
OLYMPUS,M.ZUIKO DIGITAL 14-42mm F3.5-5.6 II R,14-42_35-56_2_r,28,84,3.5,5.6,250,250,0.38,37.0,False,False,False,56.5,50.0,113,35000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-42_35-56_2_r/index.html
OLYMPUS,M.ZUIKO DIGITAL 14-42mm F3.5-5.6 II,14-42_35-56_2,28,84,3.5,5.6,250,250,0.38,37.0,False,False,False,56.5,50.0,112,35000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-42_35-56_2/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 14-150mm F4.0-5.6,14-150_40-56,28,300,4.0,5.6,500,500,0.44,58.0,False,False,False,63.5,83.0,260,88000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-150_40-56/index.html
OLYMPUS,M.ZUIKO DIGITAL 17mm F2.8,17_28,34,34,2.8,2.8,200,200,0.22,37.0,False,False,True,57.0,22.0,71,30000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/17_28/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6,40-150_40-56,80,300,4.0,5.6,900,900,0.32,58.0,False,False,False,63.5,83.0,190,47500,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/40-150_40-56/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 75-300mm F4.8-6.7,75-300_48-67,150,600,4.8,6.7,900,1500,0.36,58.0,False,False,False,70.0,116.0,430,107000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/75-300_48-67/index.html
OLYMPUS,M.ZUIKO DIGITAL ED 14-42mm F3.5-5.6,14-42_35-56,28,84,3.5,5.6,250,250,0.48,40.5,False,False,False,62.0,43.5,150,35000,マイクロフォーサーズ,https://www.olympus-imaging.jp/product/dslr/mlens/14-42_35-56/index.html
SIGMA,16mm F1.4 DC DN | Contemporary,C017,32,32,1.4,1.4,250,250,0.2,67.0,True,False,True,72.2,91.1,395,62700,マイクロフォーサーズ,https://www.sigma-global.com/jp/lenses/c017_16_14/
SIGMA,30mm F1.4 DC DN | Contemporary,C016,60,60,1.4,1.4,300,300,0.29,52.0,True,False,True,64.8,72.1,260,52800,マイクロフォーサーズ,https://www.sigma-global.com/jp/lenses/c016_30_14/
SIGMA,56mm F1.4 DC DN | Contemporary,C018,112,112,1.4,1.4,500,500,0.27,55.0,True,False,True,66.5,58.1,256,62700,マイクロフォーサーズ,https://www.sigma-global.com/jp/lenses/c018_56_14/
SIGMA,14-24mm F2.8 DG DN | Art,A019,14,24,2.8,2.8,280,280,0.14,-1.0,True,False,False,85.0,131.0,795,209000,ライカLマウント,https://www.sigma-global.com/jp/lenses/a019_14_24_28/
SIGMA,24-70mm F2.8 DG DN | Art,A019,24,70,2.8,2.8,180,380,0.34,82.0,True,False,False,87.8,122.9,835,148500,ライカLマウント,https://www.sigma-global.com/jp/lenses/a019_24_70_28/
SIGMA,35mm F1.2 DG DN | Art,A019,35,35,1.2,1.2,300,300,0.2,82.0,True,False,True,87.8,136.2,1090,209000,ライカLマウント,https://www.sigma-global.com/jp/lenses/a019_35_12/
SIGMA,35mm F1.4 DG DN | Art,A021,35,35,1.4,1.4,300,300,0.19,67.0,True,False,True,75.5,109.5,645,115500,ライカLマウント,https://www.sigma-global.com/jp/lenses/a021_35_14/
SIGMA,85mm F1.4 DG DN | Art,A020,85,85,1.4,1.4,850,850,0.12,77.0,True,False,True,82.8,94.1,630,132000,ライカLマウント,https://www.sigma-global.com/jp/lenses/a020_85_14/
SIGMA,105mm F2.8 DG DN MACRO | Art,A020,105,105,2.8,2.8,295,295,1.0,62.0,True,False,True,74.0,133.6,715,104500,ライカLマウント,https://www.sigma-global.com/jp/lenses/a020_105_28/
SIGMA,14mm F1.8 DG HSM | Art,A017,14,14,1.8,1.8,270,270,0.1,-1.0,True,False,True,95.4,150.0,1185,240900,ライカLマウント,https://www.sigma-global.com/jp/lenses/a017_14_18/
SIGMA,20mm F1.4 DG HSM | Art,A015,20,20,1.4,1.4,276,276,0.14,-1.0,True,False,True,90.7,153.75,1035,165000,ライカLマウント,https://www.sigma-global.com/jp/lenses/a015_20_14/
